
Date,Time,Level,Host Name,Category,Program,Messages
2026-05-12,17:09:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=82
2026-05-12,17:09:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=2468s heap=76568/45832 net=sta rssi=-64 stream=rtsp drops=8069 i2serr=0
2026-05-12,17:09:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=81
2026-05-12,17:08:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=80
2026-05-12,17:08:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=2408s heap=73552/45832 net=sta rssi=-67 stream=rtsp drops=8069 i2serr=0
2026-05-12,17:08:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=79
2026-05-12,17:08:03,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7953 (ring buffer full)
2026-05-12,17:07:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=78
2026-05-12,17:07:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=2348s heap=75192/45832 net=sta rssi=-66 stream=rtsp drops=7952 i2serr=0
2026-05-12,17:07:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=77
2026-05-12,17:06:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=76
2026-05-12,17:06:27,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7941 (ring buffer full)
2026-05-12,17:06:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=2288s heap=76672/45832 net=sta rssi=-66 stream=rtsp drops=7940 i2serr=0
2026-05-12,17:06:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=75
2026-05-12,17:05:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=74
2026-05-12,17:05:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=2228s heap=76684/45832 net=sta rssi=-64 stream=rtsp drops=7940 i2serr=0
2026-05-12,17:05:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=73
2026-05-12,17:04:44,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7936 (ring buffer full)
2026-05-12,17:04:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=72
2026-05-12,17:04:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=2168s heap=71392/45832 net=sta rssi=-66 stream=rtsp drops=7935 i2serr=0
2026-05-12,17:04:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=71
2026-05-12,17:03:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=70
2026-05-12,17:03:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=2108s heap=75096/45832 net=sta rssi=-64 stream=rtsp drops=7935 i2serr=0
2026-05-12,17:03:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=69
2026-05-12,17:03:07,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7870 (ring buffer full)
2026-05-12,17:02:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=68
2026-05-12,17:02:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=2048s heap=76568/45832 net=sta rssi=-66 stream=rtsp drops=7869 i2serr=0
2026-05-12,17:02:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=67
2026-05-12,17:01:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=66
2026-05-12,17:01:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1988s heap=74652/45832 net=sta rssi=-63 stream=rtsp drops=7869 i2serr=0
2026-05-12,17:01:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=65
2026-05-12,17:00:55,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7834 (ring buffer full)
2026-05-12,17:00:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=64
2026-05-12,17:00:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1928s heap=75192/45832 net=sta rssi=-67 stream=rtsp drops=7832 i2serr=0
2026-05-12,17:00:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=63
2026-05-12,16:59:53,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7831 (ring buffer full)
2026-05-12,16:59:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=62
2026-05-12,16:59:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1868s heap=76776/45832 net=sta rssi=-67 stream=rtsp drops=7830 i2serr=0
2026-05-12,16:59:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=61
2026-05-12,16:58:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=60
2026-05-12,16:58:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1808s heap=71956/45832 net=sta rssi=-66 stream=rtsp drops=7830 i2serr=0
2026-05-12,16:58:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=59
2026-05-12,16:57:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=58
2026-05-12,16:57:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1748s heap=76664/45832 net=sta rssi=-67 stream=rtsp drops=7830 i2serr=0
2026-05-12,16:57:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=57
2026-05-12,16:56:38,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=56
2026-05-12,16:56:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1688s heap=76176/45832 net=sta rssi=-65 stream=rtsp drops=7826 i2serr=0
2026-05-12,16:56:08,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=55
2026-05-12,16:55:50,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7817 (ring buffer full)
2026-05-12,16:55:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=54
2026-05-12,16:55:16,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7796 (ring buffer full)
2026-05-12,16:55:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1628s heap=69252/45832 net=sta rssi=-68 stream=rtsp drops=7795 i2serr=0
2026-05-12,16:55:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=53
2026-05-12,16:54:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=52
2026-05-12,16:54:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1568s heap=70652/45832 net=sta rssi=-64 stream=rtsp drops=7795 i2serr=0
2026-05-12,16:54:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=51
2026-05-12,16:53:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=50
2026-05-12,16:53:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1508s heap=69472/45832 net=sta rssi=-65 stream=rtsp drops=7795 i2serr=0
2026-05-12,16:53:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=49
2026-05-12,16:52:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=48
2026-05-12,16:52:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1448s heap=72740/45880 net=sta rssi=-65 stream=rtsp drops=7795 i2serr=0
2026-05-12,16:52:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=47
2026-05-12,16:51:44,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7750 (ring buffer full)
2026-05-12,16:51:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=46
2026-05-12,16:51:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1388s heap=70284/45920 net=sta rssi=-65 stream=rtsp drops=7687 i2serr=0
2026-05-12,16:51:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=45
2026-05-12,16:50:57,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7660 (ring buffer full)
2026-05-12,16:50:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=44
2026-05-12,16:50:26,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7621 (ring buffer full)
2026-05-12,16:50:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1328s heap=77216/45920 net=sta rssi=-65 stream=rtsp drops=7592 i2serr=0
2026-05-12,16:50:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=43
2026-05-12,16:49:56,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7515 (ring buffer full)
2026-05-12,16:49:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=42
2026-05-12,16:49:18,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7481 (ring buffer full)
2026-05-12,16:49:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1268s heap=78216/45920 net=sta rssi=-64 stream=rtsp drops=7480 i2serr=0
2026-05-12,16:49:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=41
2026-05-12,16:48:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=40
2026-05-12,16:48:31,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7456 (ring buffer full)
2026-05-12,16:48:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1208s heap=63376/45932 net=sta rssi=-64 stream=rtsp drops=7455 i2serr=0
2026-05-12,16:48:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=39
2026-05-12,16:47:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=38
2026-05-12,16:47:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1148s heap=76664/45932 net=sta rssi=-64 stream=rtsp drops=7455 i2serr=0
2026-05-12,16:47:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=37
2026-05-12,16:46:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=36
2026-05-12,16:46:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1088s heap=78360/45932 net=sta rssi=-66 stream=rtsp drops=7455 i2serr=0
2026-05-12,16:46:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=35
2026-05-12,16:45:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=34
2026-05-12,16:45:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=1028s heap=70180/45932 net=sta rssi=-66 stream=rtsp drops=7455 i2serr=0
2026-05-12,16:45:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=33
2026-05-12,16:44:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=32
2026-05-12,16:44:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=968s heap=76564/45932 net=sta rssi=-63 stream=rtsp drops=7455 i2serr=0
2026-05-12,16:44:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=31
2026-05-12,16:43:57,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7418 (ring buffer full)
2026-05-12,16:43:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=30
2026-05-12,16:43:26,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7380 (ring buffer full)
2026-05-12,16:43:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=908s heap=78360/45932 net=sta rssi=-65 stream=rtsp drops=7379 i2serr=0
2026-05-12,16:43:07,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=29
2026-05-12,16:42:37,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=28
2026-05-12,16:42:12,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7370 (ring buffer full)
2026-05-12,16:42:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=848s heap=62968/45932 net=sta rssi=-65 stream=rtsp drops=7369 i2serr=0
2026-05-12,16:42:06,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=27
2026-05-12,16:41:36,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=26
2026-05-12,16:41:21,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7368 (ring buffer full)
2026-05-12,16:41:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=788s heap=76780/45932 net=sta rssi=-64 stream=rtsp drops=7367 i2serr=0
2026-05-12,16:41:06,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=25
2026-05-12,16:40:50,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7338 (ring buffer full)
2026-05-12,16:40:36,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=24
2026-05-12,16:40:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=728s heap=70300/45932 net=sta rssi=-67 stream=rtsp drops=7313 i2serr=0
2026-05-12,16:40:06,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=23
2026-05-12,16:40:05,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7309 (ring buffer full)
2026-05-12,16:39:35,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=22
2026-05-12,16:39:16,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7247 (ring buffer full)
2026-05-12,16:39:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=668s heap=78248/45932 net=sta rssi=-64 stream=rtsp drops=7246 i2serr=0
2026-05-12,16:39:05,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=21
2026-05-12,16:38:44,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7163 (ring buffer full)
2026-05-12,16:38:35,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=20
2026-05-12,16:38:12,Info,192.168.1.53,local0,BirdMic,[MAIN] Health: up=608s heap=75188/45932 net=sta rssi=-65 stream=rtsp drops=7128 i2serr=0
2026-05-12,16:38:11,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7122 (ring buffer full)
2026-05-12,16:38:05,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=19
2026-05-12,16:37:35,Info,192.168.1.53,local0,BirdMic,[SS] RTSP request: GET_PARAMETER CSeq=18
2026-05-12,16:37:30,Warning,192.168.1.53,local0,BirdMic,[AP] [RB] drop #7085 (ring buffer full)
